taxa,accuracy,sample_size
Gerbillus mesopotamiae,1,26
Gerbillus nanus,0.9747416762,871
Gerbillus nigeriae,0.9680851064,94
Gerbillus perpallidus,0.9924242424,396
Gerbillus poecilops,0.9615384615,26
Gerbillus pusillus,0.9230769231,52
Gerbillus pyramidum,0.9819662595,1719
Gerbillus tarabuli,0.9551122195,401
Glaucomys sabrinus,0.8216120745,6228
Glaucomys volans,0.8882352941,3400
Glis glis,0.9166666667,612
Golunda ellioti,0.8214285714,28
Grammomys cometes,0.96875,64
Grammomys dolichurus,0.8844621514,2008
Grammomys ibeanus,0.9383983573,487
Grammomys kuru,0.9343065693,137
Grammomys macmillani,0.9350649351,462
Graomys domorum,0.9487179487,351
Graomys griseoflavus,0.9302963776,1822
Graphiurus christyi,0.9308510638,188
Graphiurus kelleni,0.8365384615,104
Graphiurus lorraineus,0.876344086,186
Graphiurus microtis,0.950617284,162
Graphiurus murinus,0.8969616909,1514
Graphiurus nagtglasii,0.9358974359,312
Graphiurus platyops,0.9375,32
Gymnuromys roberti,0.9361702128,94
Habromys lophurus,0.9783281734,323
Habromys simulatus,0.9523809524,84
Handleyomys fuscatus,0.9545454545,22
Handleyomys intectus,0.975,40
Handleyomys melanotis,0.9305555556,360
Hapalomys longicaudatus,0.9950248756,201
Heimyscus fumosus,0.9776247849,581
Heliophobius argenteocinereus,0.962628866,776
Heliosciurus gambianus,0.926744186,860
Heliosciurus mutabilis,0.8962264151,106
Heliosciurus punctatus,0.9342105263,152
Heliosciurus rufobrachium,0.9083056478,1505
Heliosciurus ruwenzorii,0.9195402299,261
Heliosciurus undulatus,0.87,100
Heterocephalus glaber,0.9641434263,502
Heteromys anomalus,0.9427402863,489
Heteromys australis,0.93125,320
Heteromys catopterius,0.9489795918,98
Heteromys desmarestianus,0.9438466054,5111
Heteromys gaumeri,0.9684372594,2598
Heteromys nelsoni,0.96,100
Heteromys oresterus,0.9259259259,54
Hodomys alleni,0.9617834395,471
Hoplomys gymnurus,0.9076923077,130
Hybomys basilii,0.9590163934,122
Hybomys lunaris,0.9337016575,181
Hybomys planifrons,0.9565217391,115
Hybomys trivirgatus,0.9720930233,645
Hybomys univittatus,0.9395794731,12413
Hydromys chrysogaster,0.8871646502,3802
Hylaeamys acritus,1,38
Hylaeamys laticeps,0.9545454545,44
Hylaeamys megacephalus,0.9173591874,2166
Hylaeamys perenensis,0.9813953488,1505
Hylaeamys yunganus,0.9717314488,566
Hylomyscus aeta,0.9478138223,709
Hylomyscus alleni,0.9352024922,3210
Hylomyscus arcimontensis,0.9814986124,1081
Hylomyscus baeri,0.9666666667,30
Hylomyscus carillus,0.8636363636,44
Hylomyscus denniae,0.96,800
Hylomyscus endorobae,0.9770114943,348
Hylomyscus heinrichorum,0.96,50
Hylomyscus kerbispeterhansi,0.9829351536,293
Hylomyscus parvus,0.9299065421,214
Hylomyscus stella,0.924403414,5741
Hylomyscus walterverheyeni,0.9689387403,1159
Hylopetes alboniger,0.875,48
Hylopetes nigripes,0.9156626506,83
Hylopetes phayrei,0.9473684211,38
Hylopetes platyurus,1,42
Hylopetes spadiceus,0.9775784753,223
Hyomys dammermani,1,32
Hystrix africaeaustralis,0.8269230769,104
Hystrix cristata,0.9027777778,72
Hystrix indica,0.8441558442,77
Hystrix pumila,0.935483871,31
Ictidomys mexicanus,0.9053497942,1215
Ictidomys tridecemlineatus,0.8521089162,7492
Idiurus macrotis,0.8676470588,68
Idiurus zenkeri,0.9180327869,61
Irenomys tarsalis,0.9437652812,409
Isothrix bistriata,0.9655172414,116
Jaculus blanfordi,0.8888888889,108
Jaculus jaculus,0.9654647029,1969
Jaculus orientalis,0.9878603945,659
Juliomys pictipes,0.9230769231,52
Kannabateomys amblyonyx,0.9391304348,115
Kerodon rupestris,0.8823529412,34
Lagidium viscacia,0.8618421053,152
Lagostomus maximus,0.9496503497,715
Lagurus lagurus,0.9857549858,702
Laonastes aenigmamus,0.9577464789,213
Lariscus insignis,0.9589041096,146
Lasiopodomys brandtii,1,155
Leggadina forresti,0.9523809524,1281
Leggadina lakedownensis,0.9678714859,498
Lemmiscus curtatus,0.9047427045,19841
Lemmus sibiricus,0.9648806844,6663
Lemmus trimucronatus,0.9697923222,7945
Lemniscomys barbarus,0.9415584416,308
Lemniscomys bellieri,0.9552238806,402
Lemniscomys griselda,0.9202898551,276
Lemniscomys linulus,0.9337979094,287
Lemniscomys macculus,0.8878504673,107
Lemniscomys rosalia,0.9345579793,871
Lemniscomys striatus,0.8831730099,7173
Lemniscomys zebra,0.9402390438,753
Lenothrix canus,0.9852941176,136
Lenoxus apicalis,0.92,50
Leopoldamys edwardsi,0.9553903346,269
Leopoldamys sabanus,0.9605809129,482
Leporillus apicalis,0.8783783784,74
Limnomys bryophilus,1,50
Limnomys sibuanus,0.9583333333,24
Lophuromys flavopunctatus,0.9122807018,1026
Lophuromys huttereri,1,22
Lophuromys kilonzoi,0.9829059829,468
Lophuromys luteogaster,0.9318181818,44
Lophuromys machangui,0.9920634921,252
Lophuromys nudicaudus,0.9156118143,237
Lophuromys rahmi,0.9528301887,106
Lophuromys sikapusi,0.910218547,3386
Lophuromys woosnami,0.9652087475,2012
Loxodontomys micropus,0.9253288078,2357
Macrotarsomys bastardi,0.9130434783,46
Makalata didelphoides,0.9326923077,208
Makalata macrura,1,64
Malacomys cansdalei,0.9824561404,114
Malacomys edwardsi,0.9630331754,1055
Malacomys longipes,0.9265536723,3009
Mallomys rothschildi,0.9736842105,38
Marmota baibacina,0.8571428571,28
Marmota bobak,0.8269230769,52
Marmota broweri,0.9314285714,175
Marmota caligata,0.9100749376,1201
Marmota flaviventris,0.8005090678,3143
Marmota himalayana,0.8055555556,36
Marmota marmota,0.875,48
Marmota monax,0.8499353169,3092
Marmota olympus,0.9042553191,94
Marmota sibirica,0.8787878788,33
Marmota vancouverensis,0.9583333333,24
Mastacomys fuscus,0.9385964912,570
Mastomys coucha,0.9094890511,685
Mastomys erythroleucus,0.9346330275,2616
Mastomys huberti,0.9472295515,379
Mastomys kollmannspergeri,0.9700598802,167
Mastomys natalensis,0.8587565774,34968
Mastomys pernanus,0.9210526316,38
Mastomys shortridgei,0.9666666667,30
Maxomys alticola,0.9777777778,90
Maxomys bartelsii,1,578
Maxomys hellwaldii,0.9689440994,161
Maxomys moi,1,30
Maxomys musschenbroekii,0.9834983498,303
Maxomys ochraceiventer,0.9,30
Maxomys panglima,0.9919246299,743
Maxomys rajah,0.9479768786,173
Maxomys surifer,0.9461697723,483
Megadontomys cryophilus,0.9875968992,645
Megadontomys thomasi,0.9797421731,543
Melanomys caliginosus,0.9449588477,1944
Melomys burtoni,0.9245606515,2333
Melomys capensis,0.9840764331,314
Melomys cervinipes,0.9028831563,1977
Melomys lutillus,1,28
Melomys rufescens,0.880733945,218
Menetes berdmorei,0.9139784946,93
Meriones crassus,0.9742679681,1127
Meriones grandis,0.9897494305,878
Meriones hurrianae,0.9581589958,239
Meriones libycus,0.9611366486,2393
Meriones meridianus,0.9385416667,960
Meriones persicus,0.961589404,755
Meriones rex,0.9130434783,46
Meriones sacramenti,0.9807692308,52
Meriones shawi,0.9712041885,382
Meriones tamariscinus,0.8452380952,84
Meriones tristrami,0.9492957746,355
Meriones unguiculatus,0.942687747,506
Meriones vinogradovi,0.9659090909,88
Mesembriomys gouldii,0.9449152542,236
Mesembriomys macrurus,0.9821428571,112
Mesocricetus auratus,0.8833333333,120
Mesocricetus newtoni,0.9931506849,146
Mesomys hispidus,0.9527777778,360
Micaelamys granti,0.988372093,86
Micaelamys namaquensis,0.8983595468,5913
Microcavia australis,0.9581881533,287
Microcavia niata,0.9242424242,66
Microdipodops megacephalus,0.9414182939,4865
Microdipodops pallidus,0.967325228,2632
Micromys minutus,0.9347382733,2942
Microryzomys altissimus,0.9360902256,266
Microryzomys minutus,0.9363354037,1288
Microsciurus alfari,0.9312977099,262
Microsciurus flaviventer,0.954248366,306
Microsciurus mimulus,0.9308176101,159
Microtus abbreviatus,0.964028777,278
Microtus agrestis,0.9242473822,12224
Microtus arvalis,0.9172516486,9402
Microtus cabrerae,1,116
Microtus californicus,0.8492824262,18465
Microtus canicaudus,0.9873096447,394
Microtus chrotorrhinus,0.9456427955,1159
Microtus daghestanicus,0.9705882353,34
Microtus duodecimcostatus,0.9681381958,13025
Microtus fortis,0.8993288591,149
Microtus gerbei,0.9807445443,1558
Microtus gregalis,0.9321766562,634
Microtus guatemalensis,0.9606741573,178
Microtus guentheri,0.94,100
Microtus ilaeus,0.8333333333,42
Microtus kikuchii,0.9873015873,315
Microtus levis,0.9342105263,76
Microtus longicaudus,0.7891244484,30141
Microtus lusitanicus,0.9838987924,3478
Microtus mexicanus,0.853569421,14232
Microtus miurus,0.9618200086,6967
Microtus mongolicus,0.9310344828,87
Microtus montanus,0.821439043,17053
Microtus montebelli,0.9285714286,98
Microtus multiplex,0.9341463415,410
Microtus oaxacensis,0.9689922481,258
Microtus ochrogaster,0.9007253886,14475
Microtus oeconomus,0.9097601374,48903
Microtus oregoni,0.9036772777,3644
Microtus pennsylvanicus,0.7920736609,82106
Microtus pinetorum,0.8867579909,5475
Microtus quasiater,0.9713080169,1185
Microtus savii,0.9513888889,144
Microtus socialis,0.9315068493,146
Microtus subterraneus,0.9465405086,8455
Microtus tatricus,0.8571428571,42
Microtus townsendii,0.9033600952,3363
Microtus umbrosus,0.9772727273,132
Microtus xanthognathus,0.9657669519,6076
Millardia meltada,0.9230769231,52
Monticolomys koopmani,0.9679487179,156
Muriculus imberbis,0.9444444444,36
Mus baoulei,0.9744318182,352
Mus booduga,0.9349593496,123
Mus bufo,0.9727705922,1469
Mus caroli,0.9595959596,198
Mus cervicolor,0.9742268041,194
